version,ultima_actualizacion,tipo_frase,nombre_tipo,codigo_escenario,escenario,retener_isr,es_agente_retenedor,es_pequeno_contribuyente,es_regimen_electronico,es_agropecuario,incluye_iva,contiene_resolucion,contiene_fecha_resolucion,texto_a_colocar
0.6.0,25/03/2025 14:30:00,1,Frase de retención del ISR,1,Afiliado al ISR Régimen Sobre las Utilidades de Actividades Lucrativas.,false,,,,,,false,false,Sujeto a pagos trimestrales ISR
0.6.0,25/03/2025 14:30:00,1,Frase de retención del ISR,2,Afiliado al ISR Régimen Opcional Simplificado Sobre Ingresos de Actividades Lucrativas (y NO cuenta con una Resolución de la SAT que le permitiría hacer el pago directo y le evitaría ser objeto de retención),true,,,,,,false,false,Sujeto a retención definitiva ISR
0.6.0,25/03/2025 14:30:00,1,Frase de retención del ISR,3,Afiliado al ISR Régimen Opcional Simplificado Sobre Ingresos de Actividades Lucrativas (y SÍ cuenta con una Resolución de la SAT que le permite hacer el pago directo y le evita ser objeto de retención),false,,,,,,true,true,Sujeto a pago directo ISR 
0.6.0,25/03/2025 14:30:00,1,Frase de retención del ISR,4,Exento del ISR,false,,,,,,false,false,Exento del ISR 
0.6.0,25/03/2025 14:30:00,2,Frases de Agente de retención del IVA,1,Es Agente de Retención del IVA,,true,,,,,false,false,Agente de Retención del IVA
0.6.0,25/03/2025 14:30:00,3,Frase de no genera derecho a crédito fiscal del IVA,1,"El contribuyente está afiliado al IVA,  en cualquiera de estos regimenes: Pequeño contribuyente, Contribuyente Agropeguario, Pequeño contribuyente Régimen Electrónico, Contribuyente Agropecuario Régimen Electrónico Especial",,,true,,,,false,false,No genera derecho a crédito fiscal
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,1,Exportaciones. Cuando el vendedor exporta bienes o servicios.,,,,,,false,false,false,Exportaciones. Exenta del IVA (art. 7 núm. 2 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,2,Servicios que presten las instituciones fiscalizadas por la Superintendencia de Bancos y las bolsas de valores autorizadas para operar en el país.,,,,,,false,false,false,Servicios que presten las instituciones fiscalizadas por la SIB. Exenta del IVA (art. 7 núm. 4 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,3,"Ventas de cooperativas. Cuando una cooperativa le vende bienes o servicios a sus asociados, cooperativas, federaciones, centrales de servicios y confederaciones de cooperativas.",,,,,,false,false,false,Ventas de cooperativas. Exenta del IVA (art. 7 núm. 5 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,4,"Donaciones a asociaciones, fundaciones e instituciones, educativas, culturales de asistencia o de servicio social y las religiosas no lucrativas.",,,,,,false,false,false,Aportes y donaciones. Exenta del IVA (art.  7 núm. 9 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,5,"Pagos por el derecho de ser miembro y las cuotas periódicas a las asociaciones o instituciones sociales, gremiales, culturales, científicas, educativas y deportivas, así como a los colegios de profesionales y los partidos políticos.",,,,,,false,false,false,Cuotas periódicas a asociaciones o instituciones sociales. Exenta del IVA (art. 7 núm. 10 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,6,"Servicios exentos que prestan las asociaciones, fundaciones e instituciones educativas, de asistencia o de servicio social y las religiosas, y otras",,,,,,false,false,false,Servicios exentos. Exenta del IVA (art. 7 núm. 13 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,7,"Venta de activos de Bancos o Sociedades Financieras a las que la Superintendencia de Bancos haya aprobado un plan de regulación o en que exista Junta de Exclusión de activos y pasivos, cuando se transfieran a otros Bancos o sociedades financieras, previa autorización de la Junta Monetaria. Esta exención tendrá validez siempre que la operación no sea para eludir responsabilidades civiles, penales, o de otra naturaleza.",,,,,,false,false,false,Venta de activos de Bancos. Exenta del IVA (art. 7 núm. 14 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,8,"Servicios exentos centros educativos privados en lo que respecta a la matrícula de inscripción, colegiaturas y derechos de examen, de los cursos que tengan autorizados por la autoridad competente.",,,,,,false,false,false,Cuotas centros educativos. Exenta del IVA (art. 8 núm. 1 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,9,Medicamentos. Cuando una compañía farmacéutica le vende medicamentos genéricos o antirretrovirales a determinados pacientes.,,,,,,false,false,false,Medicamentos genéricos o antirretrovirales. Exenta del IVA (art. 7 núm. 15 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,10,Vehículos: Cuando se vende un vehículo terrestre del modelo de dos o más años anteriores al del año en curso.,,,,,,false,false,false,Vehículos. Esta factura no incluye IVA (art. 55 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,11,"Ventas maquilas. Cuando el vendedor vende bienes o servicios de producción local a empresas calificadas bajo el decreto 29-89. Base legal: artículo 12 bis literal g del decreto 29-89 Ley de Maquila; artículo 11 del Acuerdo Gubernativo 5-2013 Reglamento de la Ley del IVA. Operaciones específicas de maquilas, usuarios de zonas francas y coexportadores. Para los casos de ventas no afectas al IVA que pueden darse entre estos actores. Base legal: artículo 36 bis y 36 ter del Decreto 29-89, Ley de Fomento a la Actividad Exportadora y de Maquila.",,,,,,false,false,false,Operaciones específicas de maquilas. No afecta al IVA (Decreto 29-89 Ley de Maquila)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,12,Ventas zonas francas. Cuando el vendedor vende bienes o servicios de producción local a empresas calificadas bajo el decreto 65-89. Base legal: artículo 22 bis literal e del decreto 29-89 Ley de Zonas Francas. Ventas de zonas francas. Por transferencias de mercancías que se realicen dentro y entre zonas francas. Base legal: artículo 22 literal c del Decreto 65-89 Ley de Zonas Francas,,,,,,false,false,false,Ventas de zonas francas. No afecta al IVA (Decreto 65-89 Ley de Zonas Francas)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,13,"Venta de vivienda: Cuando la vivienda no exceda los límites de medición y valor que contempla la ley del Impuesto al Valor Agregado; así como las segundas y subsiguientes transferencias de dominio de viviendas por cualquier título, que tributen conforme la Ley del Impuesto de Timbres Fiscales.",,,,,,false,false,false,"Venta de vivienda. Exenta del IVA (art. 7 núm. 12,  Ley del IVA)"
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,14,"Venta de títulos y acciones. La creación, emisión, circulación y transferencia de títulos de crédito, títulos valores y acciones de cualquier clase, exceptuando la factura cambiaria, cuando la emisión, aceptación o negociación corresponda a actos gravados por la presente ley.",,,,,,false,false,false,Venta de títulos y acciones. Exenta del IVA (art. 7 núm. 6 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,15,"Venta al menudeo en mercados. La venta al menudeo de carnes, pescado, mariscos, frutas y verduras frescas, cereales. legumbres y granos básicos a consumidores finales en mercados cantonales y municipales, siempre que tales ventas no excedan de cien quetzales (Q. 100.00) por cada transacción.",,,,,,false,false,false,Venta al menudeo en mercados. Exenta del IVA (art. 7 núm. 11 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,16,Ventas y servicios universidades. Las universidades autorizadas para funcionar en el país.,,,,,,false,false,false,Ventas y servicios universidades. Exenta del IVA (art. 8 núm. 2 Ley del IVA)
0.6.0,25/03/2025 14:30:00,4,Frase de exento o no afecto al IVA,17,Ventas Usuarios Zolic. Los usuarios que se instalen y operen dentro de la Zona Libre gozarán de exención al Impuesto al Valor Agregado por los hechos y actos gravados realizados dentro de la Zona Libre.,,,,,,false,false,false,Ventas Zolic. Exenta del IVA (art. 32 literal c Ley Orgánica Zolic)
