version,ultima_actualizacion,codigo,familia,validacion,mensaje
0.3.0,02/12/2024,FEL_ANU001,FEL_ANU,"Si cumple con la validación 3.9.6 numeral 1, deberá de enviar la transacción de anulación con estado “IP” hacia el operador de anulaciones extemporáneas, resguardándolo con estado inactivo pendiente de anular.",Su transacción de anulación se encuentra pendiente de autorización por parte de la Administración Tributaria. La respuesta le estará llegando a su correo electrónico.
0.3.0,02/12/2024,FEL_ANU145,FEL_ANU,"El contenido de la casilla fue incluido dentro del formulario 0611 de la SAT, la cual coincide además en las casillas: NIT Emisor, ID del Receptor, Monto Total, Fecha y Hora de Emisión","Error. El DTE a anular fue incluido en el formulario 0611 de la SAT, por lo cual no se puede anular."
0.3.0,02/12/2024,FEL_ANU147,FEL_ANU,El contenido de la casilla corresponde a un DTE que fue incluido en una gestión de traspaso de vehículo con estado finalizado.,"Error. El DTE está ingresado en una gestión de traspaso de vehículo con estado finalizado, no se permite la anulación."
0.3.0,02/12/2024,FEL_ANU368,FEL_ANU,El contenido de la presente casilla no coincide con ningún DTE registrado en la SAT.,El número de Autorización del Documento a anular no coincide con ningún DTE registrado en la SAT.
0.3.0,02/12/2024,FEL_ANU369,FEL_ANU,El contenido de la presente casilla no coincide con el que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Documento a Anular,El NIT del Emisor del documento a anular no coincide con el registrado en la SAT.
0.3.0,02/12/2024,FEL_ANU370,FEL_ANU,La firma electrónica del Emisor no corresponde al NIT del Emisor del documento a anular.,La firma del Emisor es errónea.
0.3.0,02/12/2024,FEL_ANU371,FEL_ANU,El contenido de la presente casilla no coincide con el que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Docuento a Anular,El ID del Receptor del documento a anular no coincide con el registrado en la SAT.
0.3.0,02/12/2024,FEL_ANU372,FEL_ANU,El contenido de la presente casilla no coincide con el que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Documento a Anular,El NIT del Certificador del documento a anular no coincide con el registrado en la SAT.
0.3.0,02/12/2024,FEL_ANU373,FEL_ANU,La firma electrónica del CERTIFICADOR no corresponde al NIT del Certificador.,La firma del CERTIFICADOR es errónea.
0.3.0,02/12/2024,FEL_ANU374,FEL_ANU,El contenido de la presente casilla no coincide con el que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Docuento a Anular,La fecha de emisión del documento a anular no coincide con la registrada en la SAT.
0.3.0,02/12/2024,FEL_ANU375,FEL_ANU,La casilla “Fecha de anulación” excede la fecha de vencimiento de la declaración mensual del IVA del período impositivo al que corresponde el documento a anular (Fecha de Emisión del DTE a Anular).,La fecha de anulación excede el plazo de vencimiento de la declaración mensual del IVA.
0.3.0,02/12/2024,FEL_ANU376,FEL_ANU,La casilla Fecha de anulación” es menor a la Fecha de emisión del DTE a anular que aparece registrado en la SAT de acuerdo al valor de la casilla Número de Autorización del Docuento a Anular.,La fecha de anulación no puede ser inferior a la fecha de emisión del DTE a anular.
0.3.0,02/12/2024,FEL_ANU377,FEL_ANU,El tiempo transcurrido entre la Fecha y hora de certificación y la Fecha y hora de recepción en la SAT excede las 24 horas.,La Fecha y hora de recepción en la SAT es mayor a 24 horas posterior a la Fecha y hora de certificación del documento a anular.
0.3.0,02/12/2024,FEL_ANU378,FEL_ANU,"La Fecha de certificación de la anulación es diferente a la Fecha de anulación (se despercian horas, minutos y segundos)",La Fecha de certificación es diferente a la Fecha de anulación.
0.3.0,02/12/2024,FEL_ANU451,FEL_ANU,"El contenido de la presente casilla, corresponde a un DTE registrado en la SAT, el cual tiene asociado uno o más DTE del tipo “CIVA” o “CAIS” con estado Vigente.","Error. El DTE a anular, tiene asociada alguna Constancia de exención de IVA o de adquisición de insumos y servicios"
0.3.0,02/12/2024,FEL_ANU455,FEL_ANU,"El contenido de la casilla fue incluido dentro de la Planilla del IVA FEL de la SAT, la cual coincide además en las casillas: • NIT Emisor  • ID del Receptor • Monto Total  • Fecha y Hora de Emisión","Error. El DTE a anular fue incluido en la Planilla del IVA FEL de la SAT, por lo cual no se puede anular."
0.3.0,02/12/2024,FEL_ANU456,FEL_ANU,"El contenido de la casilla corresponde a un DTE que tiene asociada una Retención de IVA en el sistema Retenciones Web de la SAT, la cual coincide además en las casillas: • NIT Emisor • ID del Receptor",Error. El DTE a anular tiene una Retención de IVA en el sistema Retenciones Web de SAT.
0.3.0,02/12/2024,FEL_ANU457,FEL_ANU,"El contenido de la casilla corresponde a un DTE que tiene asociada una Retención de ISR en el sistema Retenciones Web de la SAT, la cual coincide además en las casillas: • NIT Emisor • ID del Receptor • Monto Total • Fecha y Hora de Emisión",Error. El DTE a anular tiene una Retención de ISR en el sistema Retenciones Web de SAT.
0.3.0,02/12/2024,FEL_ANU458,FEL_ANU,El contenido de la presente casilla corresponde a un DTE registrado en la SAT con estado “Inactivo” (Anulado).,Error. El DTE a anular se encuentra con estado diferente a vigente.
0.3.0,02/12/2024,FEL_ANU461,FEL_ANU,"El contenido de la casilla contiene asociada una garantía mobiliaria, esto según la información que provee el Registro de Garantías Mobiliarias.","El DTE está ingresado en el Registro de Garantías Mobiliarias, no se permite la anulación."
0.3.0,02/12/2024,FEL_ANU462,FEL_ANU,El contenido de la presente casilla corresponde un DTE registrado en SAT con estado “IP” (Inactivo (anulado) Pendiente de anular),La transacción de anulación ya se encuentra registrada en SAT y pendiente de aprobación.
0.3.0,02/12/2024,FEL_ANU464,FEL_ANU,"El contenido de la casilla fue incluido dentro del LET de la SAT, la cual coincide además en las casillas: • NIT Emisor • ID del Receptor • Monto Total • Fecha y Hora de Emisión","El DTE a anular fue incluido en el LET de SAT, por lo cual es necesario que rectifique el mismo."
0.3.0,02/12/2024,FEL_ASO099,FEL_ASO,"El NIT Certificador no se encontraba acreditado por el NIT Emisor del DTE, en el momento que indica la casilla Fecha y hora de emisión",El Certificador no está acreditado por el Emisor del DTE.
0.3.0,02/12/2024,FEL_AUT001,FEL_AUT,Validacion de la variable de Token exista en el header del mensaje enviado,Error variable token no viene en el header del mensaje
0.3.0,02/12/2024,FEL_AUT002,FEL_AUT,Validacion de Expiracion del token enviado.,"El Token ha expirado, favor de renovarlo"
0.3.0,02/12/2024,FEL_AUT003,FEL_AUT,se valida el usuario y la clave que concuerden con el certificador que envia el dte,Error Usuario / Clave Invalidos
0.3.0,02/12/2024,FEL_GEN100,FEL_GEN,Se valida el esquema y por alguna razon no se puede cargar,Error Genérico Comuníquese con el Administrador del sistema
0.3.0,02/12/2024,FEL_GEN101,FEL_GEN,Se realiza la validacion de que el nodo de certificacion exista dentro del dte enviado,No existe el nodo de certificación dentro del xsd para validaciones del xml
0.3.0,02/12/2024,FEL_GEN102,FEL_GEN,Error en esquema XSD,El XML enviado no cumple con el esquema del XSD
0.3.0,02/12/2024,FEL_GEN103,FEL_GEN,No se encuentra presente el nodo de firma del certificador,Validar que la firma del certificador este correcta
0.3.0,02/12/2024,FEL_GEN104,FEL_GEN,Almacenamiento del detalle de documento,"Error de procesamiento del XML, debe de reenviarlo para ser aceptado por la SAT."
0.3.0,02/12/2024,FEL_GEN105,FEL_GEN,Error en la Validación de documento Emisor y UUID,"Error de procesamiento del XML, debe de reenviarlo para ser aceptado por la SAT."
0.3.0,02/12/2024,FEL_GEN106,FEL_GEN,Documento ya existe para el Emisor y el UUID,"Error de procesamiento del XML, debe de reenviarlo para ser aceptado por la SAT."
0.3.0,02/12/2024,FEL_GEN107,FEL_GEN,Registro de la constancia,"Error de procesamiento del XML, debe de reenviarlo para ser aceptado por la SAT."
0.3.0,02/12/2024,FEL_GEN108,FEL_GEN,Almacenamiento del documento,"Error de procesamiento del XML, debe de reenviarlo para ser aceptado por la SAT."
0.3.0,02/12/2024,FEL_GEN110,FEL_GEN,Ocurrió un error al momento de realizar el registro del documento en el modulo de anulación extemporánea,La anulación extemporánea no fue procesada.
0.3.0,02/12/2024,FEL_INF300,FEL_INF,La casilla Fecha y hora de emisión tiene una antiguedad mayor a tres días con respecto a la casilla Fecha y hora de certificación.,La diferencia entre la fecha de emisión y de certificación excede los cinco días.
0.3.0,02/12/2024,FEL_INF363,FEL_INF,La SAT registrará la “Fecha y hora de recepción en la SAT”. El contenido de dicha casilla es más de 24 horas posterior a la casilla “Fecha y hora de certificación”.,La “Fecha y hora de recepción en la SAT” es más de 24 horas posterior a la “Fecha y hora de certificación” del CERTIFICADOR.
0.3.0,02/12/2024,FEL_INF380,FEL_INF,Se incluye la casilla Tipo Especial y el Tipo de documento es diferente de “FESP,La casilla Tipo Especial sólo puede incluirse en Facturas Especiales
0.3.0,02/12/2024,FEL_INF381,FEL_INF,El contenido de la casilla ID del receptor es igual a CF y el Tipo de documento es FESP,El ID del Receptor no puede ser CF para una factura especial.
0.3.0,02/12/2024,FEL_INF382,FEL_INF,"Se incluye la casilla Tipo Especial con el texto Número de documento de identificación del extranjero”y el contenido de la casilla ID del receptor no cumple con estas condiciones:Tener una longitud entre 3 y 18 caracteres, Puede contener letras de la A a la Z (mayúsculas) y dígitos (0-9), No debe contener espacios",El ID del Receptor no corresponde a un formato del tipo especial Número de documento de identificación del extranjero.
0.3.0,02/12/2024,FEL_INF534,FEL_INF,"a) La fecha de emisión es inferior al 01 de junio de 2019 y el contenido de la casilla es diferente al resultado de aplicar el algoritmo siguiente: Si la sumatoria de las casillas Monto Gravable es menor o igual a 30, 000 entonces esta casilla ISR a retener es igual a la sumatoria de las casillas Monto Gravable por 5%. Si la sumatoria de las casillas Monto Gravable es mayor a 30, 000. Entonces esta casilla ISR a retener es igual a 1, 500 más ((la sumatoria de las casillas Monto Gravable menos 30, 000) por 7%). b) La fecha de emisión es superior o igual al 01 de junio de 2019 y el contenido de la casilla es diferente al 5% de la sumatoria de las casillas Monto Gravable.",El valor de la casilla ISR a Retener es erróneo.
0.3.0,02/12/2024,FEL_RCP000,FEL_RCP,"Regla que certifica la Factura Enviada, Aplica cuando se realizaron todas las validaciones de rechazo y todas pasaron exitosamente",Se Devuelve un FaceId
0.3.0,02/12/2024,FEL_RCP10,FEL_RCP,"El Tipo de DTE enviado es diferente de FACT, FCAM, FPEQ, FCAP, NCRE, NDEB, CIVA, CAIS y se incluye el complemento al item.",Error. El tipo de DTE no puede incluir complemento al item.
0.3.0,02/12/2024,FEL_RCP106,FEL_RCP,"Se envía un código de producto y el tipo de DTE es diferente de FACT, FCAM, NCRE, NDEB.",Error. El código de producto no debe estar presente para el tipo de DTE enviado.
0.3.0,02/12/2024,FEL_RCP107,FEL_RCP,"Se envía el código de producto GALDIESEL, GALSUPER y GALREGULAR y el NIT EMISOR no se encuentra dentro de los autorizados por el Ministerio de Energía y Minas como importadores de Diesel y gasolina.",Error. No se debe de consignar el código de producto.
0.3.0,02/12/2024,FEL_RCP108,FEL_RCP,Se envia el código de producto GALDIESEL y el código de unidad gravable para el impuesto IDP es diferente de 4 o el código de producto GALSUPER y el código de unidad gravable para el impuesto IDP es diferente de 1 o el código de producto GALREGULAR y el código de unidad gravable para el impuesto IDP es diferente de 2. O está presente el código de producto y e código de unidad gravable diferente de 14.,Error. El código de producto no debe estar presente para esta unidad gravable del impuesto IDP.
0.3.0,02/12/2024,FEL_RCP109,FEL_RCP,"El código de producto es GALSUPER, GALREGULAR y GALDIESEL y el tipo de frase 9 y código escenario 18 y 19 no se encuentra presente.",Error. El “Tipo de Frase”: 9 debe estar presente para el DTE que tiene los códigos de productos.
0.3.0,02/12/2024,FEL_RCP111,FEL_RCP,Para todos los DTE el dato consignado en el campo Id extranjero coincide con algún NIT o CUI existente.,Error. El ID Receptor Extranjero no puede ser un NIT o CUI existente.
0.3.0,02/12/2024,FEL_RCP112,FEL_RCP,"El tipo de DTE es diferente de “FACT”, FCAM, FPEQ Y FCAP y el tipo de frase es 9 y el código de escenario es 15, o el tipo de DTE es diferente de NABN y el tipo de Frase es 9 y el código de escenario es 16 o 17, o el DTE es NABN y el tipo de frase es 9 y no se encuentra presente el código de escenario 16 o 17.",Error. El código de escenario no corresponde para el tipo de DTE.
0.3.0,02/12/2024,FEL_RCP116,FEL_RCP,El tipo de DTE es FEPE y su única clasificación registrada en RTU es productor.,Error. El tipo de documento no aplica para la clasificación de productor.
