# gt/requirements/payroll/salario_minimo.csv — salario mínimo dated rows (sidecar of 03_minimum-wage.md)
# Authority order (binding, master index P2): AG 256-2025 (2026, operative) > AG 250-2020 (2021) > 39_ official
#   Departamento Nacional del Salario compilation 1995-2021 (SECONDARY source — every historical row cites its
#   UNDERLYING AG, never the compilation); CT arts. 103-115 (32_, texto según edición conmemorativa 2024,
#   MinTrabajo) = mechanism only, NO values.
# Fidelity (R35): amounts transcribed digit-for-digit as printed, [sic] defects flagged in fidelity_note and
#   NEVER corrected; PRINTED FIGURES GOVERN over the SD x 365/12 formula (GOQ-82; 39_ p.4 note = estimation
#   only); where printed digits are garbled or contradict their own words, the WORDS govern (GOQ-78: AG 256-2025
#   arts. 2/4/6 monthly); art. 7 CE2 maquila = 3,221.10 as printed, never 'corrected' to the prior 3,321.10
#   (GOQ-77); 2026 monthlies diverge from daily x 365/12 by centavos — printed governs.
# Gaps: 2022-2025 = ABSENT rows with GOQ-11 flags — NEVER interpolated (39_ ends 2021; 37_ = 2026); 2004
#   CC-suspension window (Exp. 05-2004, Corte de Constitucionalidad) = explicit gap rows per actividad (GOQ-81).
# Zones: nacional (1994-2025) / ce1 = departamento de Guatemala, ce2 = all other departments (from 2026-01-01,
#   AG 285-2021 circumscripciones). Actividades: agricola / no_agricola / exportadora_maquila (2 sectors
#   1995-2007, 3 sectors 2008-2021; todas = gap rows only).
# Structure: one row per (year x zone x actividad), except 2004 (two vigencia segments + one suspension gap row
#   per actividad). Amounts as plain decimals (printed '1,433.50Q' → 1433.50 — digits preserved, format
#   normalized); rate_hourly only where the AG prints it (2020-2021); 1995-2007 hourly not printed; 2026 hourly
#   = proportional to jornada, never an independent constant.
year,zone,actividad,valid_from,valid_to,rate_daily,rate_monthly,rate_hourly,instrument,source_evid,fidelity_note
1995,nacional,agricola,1994-10-20,1995-12-31,14.50,441.04,,39_ compilation -> AG 610-94,EVID-342,as printed (441.04Q); vigencia del 20-10-94 al 31-12-1995 (starts 20-Oct-1994)
1995,nacional,no_agricola,1994-10-20,1995-12-31,16.00,486.67,,39_ compilation -> AG 610-94,EVID-342,as printed (486.67Q)
1996,nacional,agricola,1996-01-01,1996-12-31,15.95,486.48,,39_ compilation -> AG 667-95,EVID-342,as printed
1996,nacional,no_agricola,1996-01-01,1996-12-31,17.60,536.80,,39_ compilation -> AG 667-95,EVID-342,as printed
1997,nacional,agricola,1997-01-01,1997-12-31,15.95,486.48,,prorroga per 39_ NOTA (underlying AG 667-95),EVID-342,1997 has no own AG — NOTA: SE PRORROGAN LOS SALARIOS MINIMOS DEL AÑO ANTERIOR (1996 rates continued)
1997,nacional,no_agricola,1997-01-01,1997-12-31,17.60,536.80,,prorroga per 39_ NOTA (underlying AG 667-95),EVID-342,same prorroga — 1996 rates continued
1998,nacional,agricola,1998-01-01,1999-01-29,17.86,543.24,,39_ compilation -> AG 841-97,EVID-342,late-January transition — vigencia 01-01-98 al 29-01-1999
1998,nacional,no_agricola,1998-01-01,1999-01-29,19.71,599.51,,39_ compilation -> AG 841-97,EVID-342,late-January transition — vigencia 01-01-98 al 29-01-1999
1999,nacional,agricola,1999-01-30,2000-01-25,19.65,597.69,,39_ compilation -> AG 23-99,EVID-342,late-January transition — vigencia 30-01-99 al 25-01-2000
1999,nacional,no_agricola,1999-01-30,2000-01-25,21.68,659.43,,39_ compilation -> AG 23-99,EVID-342,late-January transition — vigencia 30-01-99 al 25-01-2000
2000,nacional,agricola,2000-01-26,2000-12-14,21.62,659.41,,39_ compilation -> AG 20-2000,EVID-342,late-January transition — vigencia 26-01-00 al 14-12-2000
2000,nacional,no_agricola,2000-01-26,2000-12-14,23.85,727.42,,39_ compilation -> AG 20-2000,EVID-342,late-January transition — vigencia 26-01-00 al 14-12-2000
2001,nacional,agricola,2000-12-15,2001-12-31,25.08,762.85,,39_ compilation -> AG 838-2000,EVID-342,"no own 2001 AG — AG 838-2000 block (printed under AÑO 2,000 heading) carries 2001; vigencia 15-12-2000 al 31-12-2001"
2001,nacional,no_agricola,2000-12-15,2001-12-31,27.67,841.63,,39_ compilation -> AG 838-2000,EVID-342,no own 2001 AG — AG 838-2000 block carries 2001; vigencia 15-12-2000 al 31-12-2001
2002,nacional,agricola,2002-01-01,2002-12-31,27.50,836.46,,39_ compilation -> AG 494-2001,EVID-342,as printed
2002,nacional,no_agricola,2002-01-01,2002-12-31,30.00,912.50,,39_ compilation -> AG 494-2001,EVID-342,as printed
2003,nacional,agricola,2003-01-01,2003-12-31,31.90,970.29,,39_ compilation -> AG 459-2002,EVID-342,as printed
2003,nacional,no_agricola,2003-01-01,2003-12-31,34.20,1040.25,,39_ compilation -> AG 459-2002,EVID-342,"as printed (1,040.25Q)"
