codigo,name_es,name_en,family,rate_pct,base_semantics,filer,deadline_rule,informativa_channel,determinativa_channel,filing_mode,base_legal_es,evid_anchor,regime_valid_from,notes
111,"Retención en la Fuente Asalariados",Withholding at source - salaried employees,isr_asalariados,NA,progressive plantilla base (casilla 44; computation by id HN-TAX-FR-121..133),patronos / retention agents,first_10_calendar_days_next_month,ovi+sw,ovi,periodic,"Art. 22 y 28, Ley ISR (71_ §3)",EV13:EVID-077;EV31:EVID-113;EV31:EVID-125,2024-05-20,NA alícuota (71_); casillas 2/44/46 mandatory + 43/45 optional; 1:1 plantilla mapping = OQ 32_ OQ-1; 12 monthly rows incl. zeros
112,"Retención por Servicios, Honorarios, y otros (Art. 50)",Withholding on services professional fees and others (Art. 50),isr_services,12.5,"monto de los pagos o créditos (honorarios, dietas, comisiones, gratificaciones, bonificaciones, servicios técnicos)",personas jurídicas público/privado,first_10_calendar_days_next_month,ovi,ovi,periodic,"Artículo 50, Ley ISR (33_/71_)",EV13:EVID-077;EV31:EVID-115;EV31:EVID-125,2024-05-20,sole-source exception tabla-relative (OQ 33_ OQ-1; consume HN-TAX-FR-135); OVI-only anomaly (OQ 33_ OQ-2); dual CAI card + institución/F01
113,"Retención por Dividendos o Utilidades Distribuidas (Art. 25)",Withholding on dividends or distributed profits (Art. 25),isr_dividends,10,distributed dividends/utilities (engine HN-TAX-FR-170..176),sociedades mercantiles,first_10_calendar_days_next_month,ovi+sw,ovi,periodic,"Artículo 25, Ley ISR (34_/71_)",EV13:EVID-077;EV31:EVID-116;EV31:EVID-125,2024-05-20,shareholder census casillas 1111-1121; 1114 vs 1115 semantics open (OQ 34_ OQ-1); Anexo 1 country codes stale YU/TP/ZZ/AN (OQ 34_ OQ-3)
115,"Retención por Intereses y Rendimientos Financieros (Art. 9)",Withholding on interest and financial yields (Art. 9),isr_financial_interest,10,total of interest rentas (gross; payment-or-credit trigger),PJ/institutions paying or crediting interest,first_10_calendar_days_next_month,ovi+sw,ovi,periodic,"Artículos 9-10, Decreto 110-93 (35_/71_)",EV13:EVID-077;EV31:EVID-117;EV31:EVID-125,2024-05-20,casilla 2 RTN o DNI (OQ 35_ OQ-2); exclusions only in 71_ (OQ 35_ OQ-1; D.110-93 LEAD); instrument fields 36/37/38
116,"Retención por Impuesto a las Ventas (Sólo Sector Público)",Sales-tax withholding (public sector only),isv_public_sector,NA,"purchase value split 15%/18% by product ISV rate; retention = the ISV itself (100%-of-tax, R-H33)",State institutions per Orden de Pago,first_10_calendar_days_next_month,ovi+sw,ovi,periodic,"D.L. 182-2020 Art. 100 (36_) vs D.5-2001 + D.62-2023 Art.137 (71_) — CONFLICT (OQ 36_ OQ-1)",EV13:EVID-077;EV31:EVID-118;EV31:EVID-125,2024-05-20,annual budget-law moving anchor; TGR vs banks routing open (OQ 36_ OQ-2); guards: exoneradas + import-priced; casilla print defects (OQ 36_ OQ-3)
118,"Retención a Contribuyentes en Mora",Withholding from taxpayers in arrears (mora),mora,NA,impuesto + recargo + intereses per mora order,AT / Instituciones del Estado (71_),first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 299, Ley Presupuesto General de la República (71_)",EV13:EVID-077;EV31:EVID-125,2024-05-20,no dedicated Ayuda; PGR Art. 299 moves annually (dated rows per budget law)
122,"Retención Renta de Bienes Muebles e Inmuebles (Art. 5 ISR)",Withholding on income from movable and immovable property (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; 71_ rate row not verbatim in evidence - config-gate at implementation
123,"Retención por Ingresos de Espectáculos Públicos (Art. 5 ISR)",Withholding on public-show income (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
124,"Retención por Salarios, Comisiones por Servicios (Art. 5 ISR)",Withholding on salaries and service commissions (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
125,"Retención por Regalías por Marcas de Patentes y Similares (Art. 5 ISR)",Withholding on royalties for trademarks patents and similar (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
126,"Retención por Intereses sobre Operaciones Comerciales (Art. 5 ISR)",Withholding on interest on commercial operations (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
127,"Retención por Películas, Videos, Cines, Televisión (Art. 5 ISR)",Withholding on films videos cinema television (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
128,"Retención por Primas de Seguros y Similares (Art. 5 ISR)",Withholding on insurance premiums and similar (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
129,"Retención por Renta obtenida por Empresas Extranjeras (Art. 5 ISR)",Withholding on income obtained by foreign companies (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
130,"Retención por Utilidades y Dividendos (Art. 5 ISR)",Withholding on profits and dividends (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
131,"Retención por Regalías por canteras, minas y similares (Art. 5 ISR)",Withholding on royalties for quarries mines and similar (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
132,"Retención por Operaciones de naves aéreas, marítimas y autos (Art. 5 ISR)",Withholding on operations of aircraft vessels and automobiles (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
133,"Retención por Ingresos empresas de comunicaciones (Art. 5 ISR)",Withholding on income of communications companies (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
134,"Otras Retenciones diferentes a las anteriores (Art. 5 ISR)",Other withholdings different from the preceding ones (Art. 5 ISR),isr_art5_nonresident,,Art. 5 ISR gross-base family (rates by id HN-TAX-FR-101/102),payers of Art. 5 Honduran-source income,first_10_calendar_days_next_month,unknown,ovi,periodic,"Artículo 5, Ley ISR (catalog title)",EV13:EVID-077,2024-05-20,no dedicated Ayuda; config-gate rates
135,"Retención Anticipo ISR o ATN (1%)",Withholding - ISR or ATN advance (1%),isr_anticipo_compras,1,"DEFAULT: purchase amount (71_ gloss conflict - OQ 71_ OQ-2); gate = retainer sales > L15,000,000/yr",personas jurídicas y comerciantes individuales ventas > L15M,first_10_calendar_days_next_month,unresolved_37vs39,ovi,periodic,"Art. 19, Decreto 17-2010 / Acuerdo DEI-217-2010 (37_/71_)",EV13:EVID-077;EV31:EVID-119;EV31:EVID-121;EV31:EVID-125,2024-05-20,greater-of ISR/ATN anticipo (71_); supplier exemptions from taxation wave HN-TAX-FR-145/146 (OQ 37_ OQ-2); channel conflict 37_ OVI+SW vs 39_ OVI-only (R-H21; OQ 39_ OQ-1); duplicate manual dedupe (OQ 39_ OQ-2)
136,"Retención Impuesto Cedular sobre Alquiler Habitacional (10%)",Cedular tax withholding on residential rent (10%),cedular_alquiler,10,"alquiler habitacional base (engine HN-TAX-FR-177..181; L15,000 threshold not restated in Ayuda - OQ 31_ OQ-1)",lessee/administrador/fideicomiso agents,first_10_calendar_days_month_per_E-Art35,ovi,ovi,periodic,"Art. 5, Decreto 17-2010 / Artículo 13, Acuerdo 1121-2010 (71_) vs Regl. Art. 9 (31_) - divergence OQ 71_ OQ-3",EV13:EVID-077;EV31:EVID-112;EV31:EVID-125,2024-05-20,provider-factura card (no voucher fields); determinativa Tarifa value unpinned (OQ 31_ OQ-2)
137,"Retención Impuesto Sobre Ganancias de Capital (10%)",Withholding - capital gains tax on prizes (10%),gc_premios,10,premios/sorteos award amounts (DEI-SG-27-2011),prize/raffle organizers,first_10_calendar_days_next_month,unknown,ovi,periodic,"Acuerdo DEI-SG-27-2011 (71_)",EV13:EVID-077;EV31:EVID-125,2024-05-20,premios GC 10% - distinct from 138; no dedicated Ayuda
138,Ganancias de Capital a No Residentes,Capital gains of non-residents,gc_nonresident,4,valor de la transmisión de dominio (engine HN-TAX-FR-099; 46_ 2% print never encoded - R-H26),adquirientes (buyers) from non-residents,transaction+10d AND month+10d dual (OQ 38_ OQ-2 - model both),ovi,ovi,eventual+periodic,"D. 273-2013 Art. 13 → Eficiencia Art. 14 (38_) vs Artículo 7, Decreto 17-2010 (71_) - divergence OQ 71_ OQ-3",EV13:EVID-077;EV31:EVID-120;EV31:EVID-125,2024-05-20,non-resident ID triplet at-least-one; eventual (Nueva Declaración Eventual); Tarifa for non-real-estate unpinned (OQ 38_ OQ-1); print defects (OQ 38_ OQ-3)
217,"Retenciones Artículo 8 (ISV)",Withholdings Art. 8 (ISV),isv_art8,15/18 (semantics unpinned),"Importe base 15% / Importe base 18% buckets (rate matrix HN-TAX-FR-223); retained per bucket",grandes contribuyentes (GRACO; Acuerdo DEI-215-2010) buying from 5 listed activities,first_10_calendar_days_next_month,ovi,ovi,periodic,"Ley ISV Art. 8 / Acuerdo DEI-215-2010 (40_/71_)",EV13:EVID-077;EV31:EVID-122;EV31:EVID-125,2024-05-20,5-activity whitelist (carga/limpieza/impresión/seguridad/alquiler locales-maquinaria-equipo); %-of-tax vs %-of-base open (OQ 40_ OQ-1); citation form (OQ 40_ OQ-2)
254,"Retención Venta Boletos de Lotería Electrónica, Rifas y Sorteos",Withholding on electronic lottery raffle and sweepstake ticket sales,lottery,5,lotería electrónica/rimas y sorteos ticket sales (71_ gloss),lottery operators,first_10_calendar_days_next_month,unknown,ovi,periodic,"71_ §3 catalog row (gloss)",EV13:EVID-077;EV31:EVID-125,2024-05-20,no dedicated Ayuda; 5% per 71_ gloss; 71_ sheet breadth cross-cite (OQ 71_ OQ-4); tarjetas 215/523 and 524/501 OUTSIDE this catalog (R-H16)
