track,rama,band,valid_from,valid_to,mensual,jornada,hora,pct_adjust,print_status,source_evid,note
general,all_11_ramas,1-10,2022-01-01,2022-12-31,,,,5.32,derived_gap,EV82:EVID-230,amounts unpinned: 101_ Art. 2 table is an image (101_ OQ-2); never derive
general,all_11_ramas,11-50,2022-01-01,2022-12-31,,,,5.50,derived_gap,EV82:EVID-230,amounts unpinned: 101_ Art. 2 table is an image (101_ OQ-2); never derive
general,all_11_ramas,51-150,2022-01-01,2022-12-31,,,,6.50,derived_gap,EV82:EVID-230,amounts unpinned: 101_ Art. 2 table is an image (101_ OQ-2); never derive
general,all_11_ramas,151+,2022-01-01,2022-12-31,,,,7.50,derived_gap,EV82:EVID-230,amounts unpinned: 101_ Art. 2 table is an image (101_ OQ-2); never derive
general,agricultura,1-10,2023-01-01,2023-12-31,"7,802.20","260.07","32.51",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,agricultura,11-50,2023-01-01,2023-12-31,"8,255.64","275.19","34.40",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,agricultura,51-150,2023-01-01,2023-12-31,"9,041.89","301.40","37.67",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,agricultura,151+,2023-01-01,2023-12-31,"9,915.61","330.52","41.32",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,minas,1-10,2023-01-01,2023-12-31,"10,659.26","355.31","44.41",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,minas,11-50,2023-01-01,2023-12-31,"11,016.61","367.22","45.90",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,minas,51-150,2023-01-01,2023-12-31,"12,985.89","432.86","54.11",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,minas,151+,2023-01-01,2023-12-31,"14,878.19","495.94","61.99",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,manufacturera,1-10,2023-01-01,2023-12-31,"10,462.78","348.76","43.59",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,manufacturera,11-50,2023-01-01,2023-12-31,"11,168.89","372.30","46.54",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,manufacturera,51-150,2023-01-01,2023-12-31,"13,165.40","438.85","54.86",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,manufacturera,151+,2023-01-01,2023-12-31,"15,083.88","502.80","62.85",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,electricidad,1-10,2023-01-01,2023-12-31,"11,003.11","366.77","45.85",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,electricidad,11-50,2023-01-01,2023-12-31,"11,371.96","379.07","47.38",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,electricidad,51-150,2023-01-01,2023-12-31,"13,404.77","446.83","55.85",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,electricidad,151+,2023-01-01,2023-12-31,"15,358.14","511.94","63.99",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,construccion,1-10,2023-01-01,2023-12-31,"10,806.62","360.22","45.03",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,construccion,11-50,2023-01-01,2023-12-31,"11,168.89","372.30","46.54",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,construccion,51-150,2023-01-01,2023-12-31,"13,165.40","438.85","54.86",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,construccion,151+,2023-01-01,2023-12-31,"15,083.88","502.80","62.85",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comercio,1-10,2023-01-01,2023-12-31,"10,806.62","360.22","45.03",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comercio,11-50,2023-01-01,2023-12-31,"11,168.89","372.30","46.54",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comercio,51-150,2023-01-01,2023-12-31,"13,165.40","438.85","54.86",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comercio,151+,2023-01-01,2023-12-31,"15,083.88","502.80","62.85",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,restaurantes,1-10,2023-01-01,2023-12-31,"10,806.62","360.22","45.03",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,restaurantes,11-50,2023-01-01,2023-12-31,"11,168.89","372.30","46.54",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,restaurantes,51-150,2023-01-01,2023-12-31,"13,041.26","434.71","54.34",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,restaurantes,151+,2023-01-01,2023-12-31,"14,526.61","484.22","60.53",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,transporte,1-10,2023-01-01,2023-12-31,"10,904.88","363.50","45.44",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,transporte,11-50,2023-01-01,2023-12-31,"11,270.42","375.68","46.96",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,transporte,51-150,2023-01-01,2023-12-31,"13,285.08","442.84","55.35",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,transporte,151+,2023-01-01,2023-12-31,"15,220.99","507.37","63.42",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,financieros,1-10,2023-01-01,2023-12-31,"11,101.34","370.04","46.26",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,financieros,11-50,2023-01-01,2023-12-31,"11,473.51","382.45","47.81",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,financieros,51-150,2023-01-01,2023-12-31,"13,524.46","450.82","56.35",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,financieros,151+,2023-01-01,2023-12-31,"15,495.25","516.51","64.56",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comunales,1-10,2023-01-01,2023-12-31,"10,610.14","353.67","44.21",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comunales,11-50,2023-01-01,2023-12-31,"10,965.84","365.53","45.69",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comunales,51-150,2023-01-01,2023-12-31,"12,926.02","430.87","53.86",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,comunales,151+,2023-01-01,2023-12-31,"14,809.63","493.65","61.71",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,hospitales,1-10,2023-01-01,2023-12-31,"10,610.14","353.67","44.21",5.32,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,hospitales,11-50,2023-01-01,2023-12-31,"10,965.84","365.53","45.69",5.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,hospitales,51-150,2023-01-01,2023-12-31,"12,770.78","425.69","53.21",6.50,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,hospitales,151+,2023-01-01,2023-12-31,"14,357.47","478.58","59.82",8.00,printed,EV82:EVID-231,superseded vintage: replaced by 014-2023 uniform 9.80% before effectivity; never governed
general,all_11_ramas,1-10,2023-01-01,2023-12-31,,,,9.80,reconstruction_blocked,EV82:EVID-236,014-2023 Art. 2 effective table OCR-damaged (83_ OQ-1); uniform 9.80% over unpinned 2022 amounts; two cells chain-verified only
general,all_11_ramas,11-50,2023-01-01,2023-12-31,,,,9.80,reconstruction_blocked,EV82:EVID-236,014-2023 Art. 2 effective table OCR-damaged (83_ OQ-1); uniform 9.80% over unpinned 2022 amounts; two cells chain-verified only
general,all_11_ramas,51-150,2023-01-01,2023-12-31,,,,9.80,reconstruction_blocked,EV82:EVID-236,014-2023 Art. 2 effective table OCR-damaged (83_ OQ-1); uniform 9.80% over unpinned 2022 amounts; two cells chain-verified only
general,all_11_ramas,151+,2023-01-01,2023-12-31,,,,9.80,reconstruction_blocked,EV82:EVID-236,014-2023 Art. 2 effective table OCR-damaged (83_ OQ-1); uniform 9.80% over unpinned 2022 amounts; two cells chain-verified only
general,all_11_ramas,1-10,2024-01-01,2024-12-31,,,,5.5,derived_gap,EV82:EVID-233,amounts not printed in extract (82_ OQ-1); percentages pinned via 233-CONS.(7) quote + exact arithmetic (R-H46)
general,all_11_ramas,11-50,2024-01-01,2024-12-31,,,,5.5,derived_gap,EV82:EVID-233,amounts not printed in extract (82_ OQ-1); percentages pinned via 233-CONS.(7) quote + exact arithmetic (R-H46)
general,all_11_ramas,51-150,2024-01-01,2024-12-31,,,,6.5,derived_gap,EV82:EVID-233,amounts not printed in extract (82_ OQ-1); percentages pinned via 233-CONS.(7) quote + exact arithmetic (R-H46)
general,all_11_ramas,151+,2024-01-01,2024-12-31,,,,7.0,derived_gap,EV82:EVID-233,amounts not printed in extract (82_ OQ-1); percentages pinned via 233-CONS.(7) quote + exact arithmetic (R-H46)
general,agricultura,1-10,2025-01-01,2025-12-31,"9,053.43","301.78","37.72",5.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,agricultura,11-50,2025-01-01,2025-12-31,"9,563.25","318.77","39.85",5.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,agricultura,51-150,2025-01-01,2025-12-31,"10,573.32","352.44","44.06",6.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,agricultura,151+,2025-01-01,2025-12-31,"11,541.58","384.72","48.09",7.0,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,minas,1-10,2025-01-01,2025-12-31,"12,368.68","412.29","51.54",5.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,minas,11-50,2025-01-01,2025-12-31,"12,761.54","425.38","53.17",5.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
general,minas,51-150,2025-01-01,2025-12-31,"15,185.30","506.18","63.27",6.5,printed,EV82:EVID-234,109-2024 Art. 2 ANO 2025 table
