vintage,valid_from,valid_to,tramo,from_amount,to_amount,rate_pct,over_excess_of,fixed_quota,ipc_pct,scope
sar_020_2022,2022-01-01,2022-12-31,I,0.01,"181,274.56",0,,,,5.32,pn_annual_progressive
sar_020_2022,2022-01-01,2022-12-31,II,"181,274.57","276,411.57",15,"181,274.56",,,5.32,pn_annual_progressive
sar_020_2022,2022-01-01,2022-12-31,III,"276,411.58","642,817.63",20,"276,411.57",,,5.32,pn_annual_progressive
sar_020_2022,2022-01-01,2022-12-31,IV,"642,817.64",,25,"642,817.63",,,5.32,pn_annual_progressive
sar_014_2023,2023-01-01,2023-12-31,I,0.01,"199,039.47",0,,,,9.80,pn_annual_progressive
sar_014_2023,2023-01-01,2023-12-31,II,"199,039.48","303,499.90",15,"199,039.47",,,9.80,pn_annual_progressive
sar_014_2023,2023-01-01,2023-12-31,III,"303,499.91","705,813.76",20,"303,499.90",,,9.80,pn_annual_progressive
sar_014_2023,2023-01-01,2023-12-31,IV,"705,813.77",,25,"705,813.76",,,9.80,pn_annual_progressive
sar_07_2024,2024-01-01,2024-12-31,I,0.01,"209,369.62",0,,,,5.19,pn_annual_progressive
sar_07_2024,2024-01-01,2024-12-31,II,"209,369.63","319,251.54",15,"209,369.62",,,5.19,pn_annual_progressive
sar_07_2024,2024-01-01,2024-12-31,III,"319,251.55","742,445.49",20,"319,251.54",,,5.19,pn_annual_progressive
sar_07_2024,2024-01-01,2024-12-31,IV,"742,445.50",,25,"742,445.49",,,5.19,pn_annual_progressive
sar_07_2025,2025-01-01,2025-12-31,I,0.01,"217,493.16",0,,,,3.88,pn_annual_progressive
sar_07_2025,2025-01-01,2025-12-31,II,"217,493.17","331,638.50",15,"217,493.16",,,3.88,pn_annual_progressive
sar_07_2025,2025-01-01,2025-12-31,III,"331,638.51","771,252.38",20,"331,638.50",,,3.88,pn_annual_progressive
sar_07_2025,2025-01-01,2025-12-31,IV,"771,252.39",,25,"771,252.38",,,3.88,pn_annual_progressive
sar_01_2026,2026-01-01,,I,0.01,"228,324.32",0,,,,4.98,pn_annual_progressive
sar_01_2026,2026-01-01,,II,"228,324.33","348,154.10",15,"228,324.32",,,4.98,pn_annual_progressive
sar_01_2026,2026-01-01,,III,"348,154.11","809,660.75",20,"348,154.10",,,4.98,pn_annual_progressive
sar_01_2026,2026-01-01,,IV,"809,660.76",,25,"809,660.75",,,4.98,pn_annual_progressive
