code,value
00,Otro (Para extranjeros)
01,AHUACHAPÁN
02,APANECA
03,ATIQUIZAYA
04,CONCEPCIÓN DE ATACO
05,EL REFUGIO
06,GUAYMANGO
07,JUJUTLA
08,SAN FRANCISCO MENÉNDEZ
09,SAN LORENZO
10,SAN PEDRO PUXTLA
11,TACUBA
12,TURÍN
01,CANDELARIA DE LA FRONTERA
02,COATEPEQUE
03,CHALCHUAPA
04,EL CONGO
05,EL PORVENIR
06,MASAHUAT
07,METAPÁN
08,SAN ANTONIO PAJONAL
09,SAN SEBASTIÁN SALITRILLO
10,SANTA ANA
11,STA ROSA GUACHI
12,STGO D LA FRONT
13,TEXISTEPEQUE
01,ACAJUTLA
02,ARMENIA
03,CALUCO
04,CUISNAHUAT
05,STA I ISHUATAN
06,IZALCO
07,JUAYÚA
08,NAHUIZALCO
09,NAHULINGO
10,SALCOATITÁN
11,SAN ANTONIO DEL MONTE
12,SAN JULIÁN
13,STA C MASAHUAT
14,SANTO DOMINGO GUZMÁN
15,SONSONATE
16,SONZACATE
01,AGUA CALIENTE
02,ARCATAO
03,AZACUALPA
04,CITALÁ
05,COMALAPA
06,CONCEPCIÓN QUEZALTEPEQUE
07,CHALATENANGO
08,DULCE NOM MARÍA
09,EL CARRIZAL
10,EL PARAÍSO
11,LA LAGUNA
12,LA PALMA
13,LA REINA
14,LAS VUELTAS
15,NOMBRE DE JESUS
16,NVA CONCEPCIÓN
17,NUEVA TRINIDAD
18,OJOS DE AGUA
19,POTONICO
20,SAN ANT LA CRUZ
21,SAN ANT RANCHOS
22,SAN FERNANDO
23,SAN FRANCISCO LEMPA
24,SAN FRANCISCO MORAZÁN
25,SAN IGNACIO
26,SAN I LABRADOR
27,SAN J CANCASQUE
28,SAN JOSE FLORES
29,SAN LUIS CARMEN
30,SN MIG MERCEDES
31,SAN RAFAEL
32,SANTA RITA
33,TEJUTLA
01,ANTGO CUSCATLÁN
02,CIUDAD ARCE
03,COLON
04,COMASAGUA
05,CHILTIUPAN
06,HUIZÚCAR
07,JAYAQUE
08,JICALAPA
09,LA LIBERTAD
10,NUEVO CUSCATLÁN
11,SANTA TECLA
12,QUEZALTEPEQUE
13,SACACOYO
14,SN J VILLANUEVA
15,SAN JUAN OPICO
16,SAN MATÍAS
17,SAN P TACACHICO
18,TAMANIQUE
19,TALNIQUE
20,TEOTEPEQUE
21,TEPECOYO
22,ZARAGOZA
01,AGUILARES
02,APOPA
03,AYUTUXTEPEQUE
04,CUSCATANCINGO
05,EL PAISNAL
06,GUAZAPA
07,ILOPANGO
08,MEJICANOS
09,NEJAPA
10,PANCHIMALCO
11,ROSARIO DE MORA
