code,value
00,Otro (Para extranjeros)
13,AHUACHAPAN NORTE
14,AHUACHAPAN CENTRO
15,AHUACHAPAN SUR
14,SANTA ANA NORTE
15,SANTA ANA CENTRO
16,SANTA ANA ESTE
17,SANTA ANA OESTE
17,SONSONATE NORTE
18,SONSONATE CENTRO
19,SONSONATE ESTE
20,SONSONATE OESTE
34,CHALATENANGO NORTE
35,CHALATENANGO CENTRO
36,CHALATENANGO SUR
23,LA LIBERTAD NORTE
24,LA LIBERTAD CENTRO
25,LA LIBERTAD OESTE
26,LA LIBERTAD ESTE
27,LA LIBERTAD COSTA
28,LA LIBERTAD SUR
20,SAN SALVADOR NORTE
21,SAN SALVADOR OESTE
22,SAN SALVADOR ESTE
23,SAN SALVADOR CENTRO
24,SAN SALVADOR SUR
17,CUSCATLAN NORTE
18,CUSCATLAN SUR
23,LA PAZ OESTE
24,LA PAZ CENTRO
25,LA PAZ ESTE
10,CABAÑAS OESTE
11,CABAÑAS ESTE
14,SAN VICENTE NORTE
15,SAN VICENTE SUR
24,USULUTAN NORTE
25,USULUTAN ESTE
26,USULUTAN OESTE
21,SAN MIGUEL NORTE
22,SAN MIGUEL CENTRO
23,SAN MIGUEL OESTE
27,MORAZAN NORTE
28,MORAZAN SUR
19,LA UNION NORTE
20,LA UNION SUR
