code,value,section
20,Impuesto al Valor Agregado 13%,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
C3,Impuesto al Valor Agregado (exportaciones) 0%,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
59,Turismo: por alojamiento (5%),TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
71,Turismo: salida del país por vía aérea $7.00,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
D1,FOVIAL ($0.20 Ctvs. por galón),TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
C8,COTRANS ($0.10 Ctvs. por galón),TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
D5,Otras tasas casos especiales,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
D4,Otros impuestos casos especiales,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL RESUMEN DEL DTE
A8,"Impuesto Especial al Combustible (0%, 0.5%, 1%)",TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
57,Impuesto industria de Cemento,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
90,Impuesto especial a la primera matrícula,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
D4,Otros impuestos casos especiales,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
D5,Otras tasas casos especiales,TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
A6,"Impuesto ad- valorem, armas de fuego, municiones explosivas y artículos similares",TRIBUTOS APLICADOS POR ÍTEMS REFLEJADOS EN EL CUERPO DEL DOCUMENTO
C5,Impuesto ad- valorem por diferencial de precios de bebidas alcohólicas (8%),IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
C6,Impuesto ad- valorem por diferencial de precios al tabaco cigarrillos (39%),IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
C7,Impuesto ad- valorem por diferencial de precios al tabaco cigarros (100%),IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
19,"Fabricante de Bebidas Gaseosas, Isotónicas, Deportivas, Fortificantes, Energizante o Estimulante",IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
28,"Importador de Bebidas Gaseosas, Isotónicas, Deportivas, Fortificantes, Energizante o Estimulante",IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
31,Detallistas o Expendedores de Bebidas Alcohólicas,IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
32,Fabricante de Cerveza,IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
33,Importador de Cerveza,IMPUESTOS AD-VALOREM APLICADOS POR ÍTEM DE USO INFORMATIVO REFLEJADOS EL RESUMEN DEL DOCUMENTO
