code,description_es,class,f14_tab,f14_row_casilla,ct_anchor,catalog_version,valid_from,notes
01,"Servicios de carácter permanente",acreditable,acreditables_con_dependencia,"rows 10-27 zone; 104/105 pares + impuesto 150-164; total 221","Ley ISR Art. 38 + D.E. 10-2025 (via taxation/04 SV-TAX-FR-104/106/109)",v16_apendice,2025-10-01,"Payroll head code; monthly 01-vs-60 selection owned by SV-TAX-FR-106; annual rule owned by FR-180 here"
05,"Rentas de personas jurídicas domiciliadas provenientes de depósitos de dinero",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156-B zone (via taxation/04 SV-TAX-FR-124 kin)",v16_apendice,2025-10-01,"Creditable juridical-person deposit yields"
06,"Rentas de personas jurídicas domiciliadas provenientes de títulos valores",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156-B zone (via taxation/04 SV-TAX-FR-124 kin)",v16_apendice,2025-10-01,"Creditable juridical-person securities yields"
07,"Retenciones por actividades agropecuarias",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 matrix zone (via taxation/04)",v16_apendice,2025-10-01,"Agricultural activities; harvest labor excluded from honorarios rule per SV-TAX-FR-121 note"
08,"Retenciones por juicios ejecutivos",acreditable,acreditables_sin_dependencia,"total 225 zone","CT matrix zone (via taxation/04 SV-TAX-FR-125 kin)",v16_apendice,2025-10-01,"Courts/judgments track"
09,"Otras retenciones",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,"Catch-all creditable"
11,"Servicios sin dependencia laboral",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 (via taxation/04 SV-TAX-FR-121)",v16_apendice,2025-10-01,"Honorarios 10%"
19,"Costos y gastos incurridos sujetos a retención y entero",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,""
20,"Valores garantizados por seguro dotal u otros tipos de seguros",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 154-160 matrix zone (unpinned per-code)",v16_apendice,2025-10-01,"No-gravado kin is code 71 (según ley)"
21,"Otros servicios sin dependencia laboral",acreditable,acreditables_sin_dependencia,"total 225 zone","CT 156 (via taxation/04 SV-TAX-FR-121 kin)",v16_apendice,2025-10-01,""
