regime,institution,row_type,worker_pct,employer_pct,cap_type,cap_value,valid_from,valid_to,source,instrument_oq,note
isss_general,isss,rate,3.0,7.5,,,1953-12-11,,08_ D.L. 1263 Art. 29 (EVID-193),,"general salud + riesgos profesionales rates over remuneracion afecta; law print D.O. 226 T.161 11-dic-1953; stable per reform tail through D.L. 45-1994 (08_ OQ-2); riesgos profesionales folded - no separate employer accident rate in the law (08_ OQ-3)"
isss_general,isss,cap,,,amount,30.00,2025-10-01,,35_ F-14 v16 manual §2 col M (EVID-180 via fiscal-reporting/06 LB-002),OQ-001 (SOQ-15),"worker-share maximum cotizacion US$30.00 as printed Oct-2025; the base-ceiling instrument (Reglamento ISSS) is ABSENT - never derive the implied base by arithmetic (the '$30 / 3% = $1,000' base is NOT corpus fact); SOQ-11: payroll owns the value, the F-14 mirrors it as validation"
isss_art99_public,isss,rate,2.67,6.68,,,1953-12-11,,08_ D.L. 1263 Art. 29 + Art. 99 (EVID-193),,"public-sector special health regime (workers indicated by reglamento; scope letters a) b) c) of Art. 2 only); MEDICAL-ONLY - in no case money benefits (Art. 99)"
isss_voluntary,isss,rate,10.50,0.0,,,1953-12-11,,08_ D.L. 1263 Art. 29 final inciso (EVID-193),,"voluntary insurance authorized by reglamentos: the assured pays in full BOTH shares (3.00 worker + 7.50 employer) in the same percentages established for the obligatory regime in question"
sip,afp,rate,7.25,8.75,,,2022-12-29,,09_ D.L. 614 Art. 16 (EVID-197),,"16% over IBC = 7.25% trabajador + 8.75% empleador; destination split: 9.0% individual account (7.25 worker + 1.75 employer) / 6.0% Cuenta de Garantia Solidaria (employer) / 1.0% AFP commission (employer); the employer's 1-point increment is NEVER shifted to the worker under any figure (Art. 16 final inciso); D.L. 614 effective 2022-12-29 (Art. 164); SAP-era rate lore DEAD (R24)"
sip,afp,cap,,,amount,472.93,2025-10-01,,35_ F-14 v16 manual §2 col L (EVID-180 via fiscal-reporting/06 LB-002),OQ-002 (SOQ-16),"maximum cotizacion US$472.93 as printed Oct-2025; the ceiling instrument (BCR Norma Tecnica / SIP transitory?) is ABSENT - never derive the implied IBC ceiling by arithmetic; value-level clamp only (F-14 col L value ceiling)"
sip_independent,afp,rate,16.0,0.0,,,2022-12-29,,09_ D.L. 614 Art. 15 (EVID-197),,"independent workers: full-share declared-income mode - the affiliated independent bears the whole cotizacion (both shares) over declared income"
pensioner,isss_salud,rate,7.80,0.0,,,2022-12-29,,09_ D.L. 614 Art. 154 (EVID-199; ruling R23),,"pensioner health cotizacion at 7.80% of the monthly pension, borne by the pensionado, covering the pensioner and spouse/concubine; SUPERSEDES the 6% of 08_ Art. 29 (R23: D.L. 614 later-in-time and lex specialis); adjacent config - pension-paying side, not employer payroll"
pensioner,sip_solidaridad,rate,7.0,0.0,,,2022-12-29,,09_ D.L. 614 Art. 121 (EVID-199),,"vejez pensioners whose pension exceeds 6x the pension minima cotize 7% to the Cuenta de Garantia Solidaria; adjacent config - pension-paying side, not employer payroll"
instituto,inpep,cap,,,percent,7.5,2025-10-01,,35_ F-14 v16 manual §2 col N (EVID-180 via fiscal-reporting/06 LB-002),OQ-003 (SOQ-17),"maximum cotizacion percentage 7.5% of the accrued amount as printed Oct-2025; INPEP rate law ABSENT from corpus - worker/employer split unknown, never invent; public-sector employers only"
instituto,ipsfa,cap,,,percent,9.5,2025-10-01,,35_ F-14 v16 manual §2 col O (EVID-180 via fiscal-reporting/06 LB-002),OQ-003 (SOQ-17),"maximum cotizacion percentage 9.5% of the accrued amount as printed Oct-2025; IPSFA rate law ABSENT from corpus - worker/employer split unknown, never invent; public-sector employers only"
instituto,cefafa,cap,,,percent,5.0,2025-10-01,,35_ F-14 v16 manual §2 col P (EVID-180 via fiscal-reporting/06 LB-002),OQ-003 (SOQ-17),"maximum cotizacion percentage 5% of the accrued amount as printed Oct-2025; CEFAFA rate law ABSENT from corpus - worker/employer split unknown, never invent; public-sector employers only"
instituto,bienestar_magisterial,cap,,,percent,5.58,2025-10-01,,35_ F-14 v16 manual §2 col Q (EVID-180 via fiscal-reporting/06 LB-002),OQ-003 (SOQ-17),"maximum cotizacion percentage 5.58% of the accrued amount as printed Oct-2025; Bienestar Magisterial rate law ABSENT from corpus - worker/employer split unknown, never invent; public-sector employers (education) only"
instituto,isss_ivm,cap,,,percent,7.5,2025-10-01,,35_ F-14 v16 manual §2 col R (EVID-180 via fiscal-reporting/06 LB-002),OQ-003 (SOQ-17),"maximum cotizacion percentage 7.5% of the accrued amount as printed Oct-2025; the operative ISSS-IVM rate instrument is ABSENT (08_ Art. 29's 3.50% primas-escalonadas seed is DEAD print for current periods); never invent a split"
