vintage,valid_from,valid_to,tramo,from_amount,to_amount,rate_pct,over_excess_of,fixed_quota,scope
dl_957_2011,,2025-05-07,I,0.01,"4,064.00",0,,,annual_liquidation
dl_957_2011,,2025-05-07,II,"4,064.01","9,142.86",10,"4,064.00",212.12,annual_liquidation
dl_957_2011,,2025-05-07,III,"9,142.87","22,857.14",20,"9,142.86",720.00,annual_liquidation
dl_957_2011,,2025-05-07,IV,"22,857.15",,30,"22,857.14","3,462.86",annual_liquidation
dl_293_2025,2025-05-08,,I,0.01,"6,600.00",0,,,annual_liquidation
dl_293_2025,2025-05-08,,II,"6,600.01","9,142.86",10,"6,600.00",212.12,annual_liquidation
dl_293_2025,2025-05-08,,III,"9,142.87","22,857.14",20,"9,142.86",720.00,annual_liquidation
dl_293_2025,2025-05-08,,IV,"22,857.15",,30,"22,857.14","3,462.86",annual_liquidation
de_25_1992,1992-03-01,,I,0.01,316.67,0,,,retention_monthly
de_25_1992,1992-03-01,,II,316.67,469.05,10,316.67,4.77,retention_monthly
de_25_1992,1992-03-01,,III,469.05,761.91,10,228.57,4.77,retention_monthly
de_25_1992,1992-03-01,,IV,761.91,"1,904.69",20,761.91,60.00,retention_monthly
de_25_1992,1992-03-01,,V,"1,904.69",,30,"1,904.69",228.57,retention_monthly
de_25_1992,1992-03-01,,I,0.01,158.33,0,,,retention_quincenal
de_25_1992,1992-03-01,,II,158.33,234.52,10,158.33,2.38,retention_quincenal
de_25_1992,1992-03-01,,III,234.52,380.95,10,114.29,2.38,retention_quincenal
de_25_1992,1992-03-01,,IV,380.95,952.34,20,380.95,30.00,retention_quincenal
de_25_1992,1992-03-01,,V,952.34,,30,952.34,114.29,retention_quincenal
de_25_1992,1992-03-01,,I,0.01,79.17,0,,,retention_semanal
de_25_1992,1992-03-01,,II,79.17,117.26,10,79.17,1.19,retention_semanal
de_25_1992,1992-03-01,,III,117.26,190.48,10,57.14,1.19,retention_semanal
de_25_1992,1992-03-01,,IV,190.48,476.11,20,190.48,15.00,retention_semanal
de_25_1992,1992-03-01,,V,476.12,,30,476.11,57.14,retention_semanal
