decree,valid_from,valid_to,frequency,tramo,from_amount,to_amount,rate_pct,over_excess_of,fixed_quota,note
de_10_2025,2025-05-08,,monthly,I,0.01,550.00,0,,,"D.E. 10-2025 operative vintage (repeals D.E. 95-2015); effective 2025-05-08 (D.O. 79 T.447 30-abr-2025 confirmed, EVID-171); SIN RETENCION as printed"
de_10_2025,2025-05-08,,monthly,II,550.01,895.24,10,550.00,17.67,"D.E. 10-2025 operative vintage; Tramo II does NOT embed the $1,600 Art. 29.7 deduction (Art. 1 e); effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,monthly,III,895.25,"2,038.10",20,895.24,60.00,"D.E. 10-2025 operative vintage; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,monthly,IV,"2,038.11",,30,"2,038.10",288.57,"D.E. 10-2025 operative vintage; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,quincenal,I,0.01,275.00,0,,,"D.E. 10-2025 operative vintage; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171); SIN RETENCION as printed"
de_10_2025,2025-05-08,,quincenal,II,275.01,447.62,10,275.00,8.83,"D.E. 10-2025 operative vintage; Tramo II does NOT embed the $1,600 Art. 29.7 deduction (Art. 1 e); effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,quincenal,III,447.63,"1,019.05",20,447.62,30.00,"D.E. 10-2025 operative vintage; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,quincenal,IV,"1,019.06",,30,"1,019.05",144.28,"D.E. 10-2025 operative vintage; [sic] DESDE as printed; exact halving of monthly 2,038.11 = 1,019.055 (consistent round-up; SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,semanal,I,0.01,137.50,0,,,"D.E. 10-2025 operative vintage; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171); SIN RETENCION as printed"
de_10_2025,2025-05-08,,semanal,II,137.51,223.81,10,137.50,4.42,"D.E. 10-2025 operative vintage; Tramo II does NOT embed the $1,600 Art. 29.7 deduction (Art. 1 e); effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,semanal,III,223.82,509.52,20,223.81,15.00,"D.E. 10-2025 operative vintage; [sic] HASTA as printed; 2,038.10/4 = 509.525 printed 509.52 (round-down; SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,semanal,IV,509.53,,30,509.52,72.14,"D.E. 10-2025 operative vintage; [sic] DESDE as printed; exact quarter of monthly 2,038.11 = 509.5275 (SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,june_recalc,I,0.01,"3,300.00",0,,,"June recalculation table (Jan-Jun cumulative; minus Jan-May retentions; max(0 diff)); SIN RETENCION as printed; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,june_recalc,II,"3,300.01","5,371.44",10,"3,300.00",106.20,"June recalculation table; Tramo II $1,600 applies in the recalculo for <= $9,100/yr (Art. 1 f); [sic] HASTA as printed exact halving = 5,371.43 and cuota fija exact halving = 106.06 (SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,june_recalc,III,"5,371.45","12,228.60",20,"5,371.44",360.00,"June recalculation table; [sic] HASTA as printed exact halving = 12,228.57 (SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,june_recalc,IV,"12,228.61",,30,"12,228.60","1,731.42","June recalculation table; [sic] cuota fija as printed exact halving = 1,731.43 (SOQ-03/OQ-002)"
de_10_2025,2025-05-08,,december_recalc,I,0.01,"6,600.00",0,,,"December recalculation table (full-year cumulative; minus Jan-Nov retentions; max(0 diff)); SIN RETENCION as printed; effective 2025-05-08 (D.O. 79 T.447 30-abr-2025, EVID-171)"
de_10_2025,2025-05-08,,december_recalc,II,"6,600.01","10,742.86",10,"6,600.00",212.12,"December recalculation table = Art. 37 annual table (03 file FR-074 vintage B) shifted +$1,600 on Tramo II/III boundaries same cuotas (structural $1,600 embedding)"
de_10_2025,2025-05-08,,december_recalc,III,"10,742.87","24,457.14",20,"10,742.86",720.00,"December recalculation table = Art. 37 annual table shifted +$1,600 (22,857.14 + 1,600 = 24,457.14) same cuota"
de_10_2025,2025-05-08,,december_recalc,IV,"24,457.15",,30,"24,457.14","3,462.86","December recalculation table = Art. 37 annual table shifted +$1,600 same cuota"
